"DGO","date"
220.001,2005-12-01
207.601,2006-01-01
217.795,2006-02-01
227.468,2006-03-01
214.319,2006-04-01
215.66,2006-05-01
221.123,2006-06-01
212.159,2006-07-01
211.224,2006-08-01
235.868,2006-09-01
217.059,2006-10-01
226.021,2006-11-01
228.756,2006-12-01
218.665,2007-01-01
221.355,2007-02-01
228.371,2007-03-01
233.557,2007-04-01
227.712,2007-05-01
229.566,2007-06-01
239.03,2007-07-01
234.08,2007-08-01
226.066,2007-09-01
229.474,2007-10-01
232.344,2007-11-01
242.737,2007-12-01
237.339,2008-01-01
233.713,2008-02-01
229.927,2008-03-01
229.82,2008-04-01
229.731,2008-05-01
229.437,2008-06-01
224.808,2008-07-01
216.523,2008-08-01
211.527,2008-09-01
192.175,2008-10-01
183.819,2008-11-01
173.479,2008-12-01
152.589,2009-01-01
145.558,2009-02-01
144.684,2009-03-01
144.167,2009-04-01
149.697,2009-05-01
145.789,2009-06-01
156.484,2009-07-01
157.891,2009-08-01
157.068,2009-09-01
162.306,2009-10-01
161.082,2009-11-01
158.739,2009-12-01
181.005,2010-01-01
175.85,2010-02-01
179.451,2010-03-01
186.904,2010-04-01
185.592,2010-05-01
186.094,2010-06-01
190.113,2010-07-01
192.395,2010-08-01
200.468,2010-09-01
194.374,2010-10-01
196.504,2010-11-01
194.141,2010-12-01
204.664,2011-01-01
194.494,2011-02-01
212.478,2011-03-01
201.676,2011-04-01
206.556,2011-05-01
201.521,2011-06-01
210.259,2011-07-01
217.267,2011-08-01
209.447,2011-09-01
209.973,2011-10-01
217.771,2011-11-01
226.371,2011-12-01
222.04,2012-01-01
220.242,2012-02-01
217.022,2012-03-01
216.932,2012-04-01
214.116,2012-05-01
217.11,2012-06-01
225.092,2012-07-01
201.378,2012-08-01
214.344,2012-09-01
219.147,2012-10-01
217.177,2012-11-01
230.36,2012-12-01
220.179,2013-01-01
230.272,2013-02-01
213.818,2013-03-01
224.074,2013-04-01
231.715,2013-05-01
243.78,2013-06-01
224.33,2013-07-01
225.292,2013-08-01
233.988,2013-09-01
231.075,2013-10-01
241.438,2013-11-01
229.813,2013-12-01
224.01,2014-01-01
229.864,2014-02-01
238.42,2014-03-01
240.481,2014-04-01
238.16,2014-05-01
239.917,2014-06-01
