vru+line	call_id	customer_id	priority	type	date	vru_entry	vru_exit	vru_time	q_start	q_exit	q_time	outcome	ser_start	ser_exit	ser_time	server
AA0101	34566	0	0	NW	990201	12:56:39	12:56:52	13	0:00:00	0:00:00	0	AGENT	12:56:51	12:57:53	62	YIFAT
AA0101	34567	79746376	1	PS	990201	13:07:27	13:07:32	5	13:07:32	13:09:13	101	AGENT	13:09:12	13:12:43	211	ANAT
AA0101	34568	0	0	NE	990201	13:29:52	13:30:01	9	0:00:00	0:00:00	0	AGENT	13:30:01	13:31:32	91	GILI
AA0101	34569	0	0	PS	990201	13:43:41	13:43:59	18	0:00:00	0:00:00	0	AGENT	13:43:57	13:48:44	287	YITZ
AA0101	34570	0	0	NW	990201	13:51:03	13:51:16	13	0:00:00	0:00:00	0	AGENT	13:51:15	13:55:38	263	MICHAL
AA0101	34571	0	0	PS	990201	14:04:00	14:04:12	12	0:00:00	0:00:00	0	AGENT	14:04:11	14:07:41	210	TOVA
AA0101	34572	0	0	PS	990201	14:12:55	14:13:03	8	0:00:00	0:00:00	0	AGENT	14:13:03	14:13:08	5	NO_SERVER
AA0101	34573	0	0	PS	990201	14:24:55	14:25:04	9	0:00:00	0:00:00	0	AGENT	14:25:04	14:27:54	170	KAZAV
AA0101	34574	74780917	2	NE	990201	14:36:52	14:36:58	6	14:36:58	14:37:24	26	AGENT	14:37:24	14:40:25	181	KAZAV
AA0101	34575	23571557	1	PS	990201	14:45:11	14:45:17	6	14:45:17	14:46:23	66	AGENT	14:46:21	14:47:19	58	MICHAL
AA0101	34576	0	0	NW	990201	15:00:34	15:00:44	10	15:00:44	15:01:18	34	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34577	0	0	NE	990201	15:13:36	15:13:46	10	0:00:00	0:00:00	0	AGENT	15:13:45	15:22:46	541	ZOHARI
AA0101	34578	0	0	NW	990201	15:33:09	15:33:18	9	15:33:18	15:36:07	169	AGENT	15:36:06	15:37:11	65	YITZ
AA0101	34579	54653803	2	PS	990201	15:47:26	15:47:32	6	15:47:32	15:48:19	47	AGENT	15:48:18	15:50:09	111	ANAT
AA0101	34580	0	0	NW	990201	15:56:21	15:56:30	9	15:56:30	15:59:53	203	AGENT	15:59:52	16:02:33	161	AVNI
AA0101	34581	14264295	2	PS	990201	16:16:18	16:16:23	5	16:16:23	16:17:21	58	AGENT	16:17:21	16:18:44	83	DARMON
AA0101	34582	57127995	2	PS	990201	16:24:14	16:24:20	6	16:24:20	16:25:13	53	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34583	27165570	1	PS	990201	16:40:58	16:41:04	6	16:41:04	16:41:41	37	AGENT	16:41:41	16:43:15	94	IDIT
AA0101	34584	0	0	NW	990201	16:54:29	16:54:38	9	16:54:38	16:55:26	48	AGENT	16:55:25	16:56:31	66	AVNI
AA0101	34585	0	0	PS	990201	17:16:03	17:17:16	73	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34586	28767283	1	PS	990201	17:38:38	17:38:44	6	17:38:44	17:39:23	39	AGENT	17:39:22	17:41:15	113	ANAT
AA0101	34587	0	0	PS	990201	17:55:18	17:55:43	25	0:00:00	0:00:00	0	AGENT	17:55:43	17:58:40	177	AVNI
AA0101	34588	33966326	1	PS	990201	18:11:02	18:11:08	6	18:11:08	18:15:31	263	AGENT	18:15:31	18:16:53	82	IDIT
AA0101	34589	69607026	1	PS	990201	18:25:46	18:25:52	6	18:25:52	18:28:59	187	AGENT	18:28:58	18:29:06	8	ANAT
AA0101	34590	0	0	PS	990201	18:37:52	18:38:03	11	0:00:00	0:00:00	0	AGENT	18:38:02	18:45:56	474	DARMON
AA0101	34591	0	0	PS	990201	18:45:01	18:45:11	10	0:00:00	0:00:00	0	AGENT	18:45:10	18:46:04	54	AVNI
AA0101	34592	0	0	PS	990201	18:52:31	18:52:47	16	0:00:00	0:00:00	0	AGENT	18:52:47	18:55:35	168	ANAT
AA0101	34593	29322591	2	PS	990201	19:03:19	19:03:25	6	19:03:25	19:03:44	19	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34594	0	0	PS	990201	19:19:11	19:19:24	13	0:00:00	0:00:00	0	AGENT	19:19:23	19:19:25	2	ANAT
AA0101	34595	0	0	PS	990201	19:32:09	19:32:16	7	0:00:00	0:00:00	0	AGENT	19:32:17	19:32:22	5	NO_SERVER
AA0101	34596	0	0	PS	990201	19:58:13	19:58:26	13	0:00:00	0:00:00	0	AGENT	19:58:25	19:58:31	6	NO_SERVER
AA0101	34597	54128681	2	PS	990201	20:08:25	20:08:31	6	20:08:31	20:09:44	73	AGENT	20:09:43	20:11:49	126	IDIT
AA0101	34598	0	0	NW	990201	20:26:26	20:26:36	10	20:26:36	20:26:43	7	AGENT	20:26:43	20:29:00	137	BENSION
AA0101	34599	7191646	2	NE	990201	20:44:24	20:44:30	6	20:44:30	20:44:48	18	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34600	25229626	2	PS	990201	20:53:59	20:54:04	5	20:54:04	20:55:28	84	AGENT	20:55:28	20:56:40	72	SHLOMO
AA0101	34601	0	0	PS	990201	21:13:58	21:14:13	15	0:00:00	0:00:00	0	AGENT	21:14:12	21:19:33	321	BENSION
AA0101	34602	57419327	2	PS	990201	21:30:13	21:30:19	6	21:30:19	21:30:33	14	AGENT	21:30:33	21:31:09	36	BENSION
AA0101	34603	0	0	PS	990201	21:52:16	21:52:31	15	0:00:00	0:00:00	0	AGENT	21:52:30	21:54:57	147	AVNI
AA0101	34604	0	0	PS	990201	22:18:40	22:18:49	9	0:00:00	0:00:00	0	AGENT	22:18:48	22:22:29	221	BENSION
AA0101	34606	0	0	PS	990201	22:43:22	22:43:22	0	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34607	0	0	PS	990201	23:08:37	23:08:48	11	0:00:00	0:00:00	0	AGENT	23:08:47	23:12:38	231	BENSION
AA0101	34608	0	0	PS	990201	23:29:39	23:29:47	8	0:00:00	0:00:00	0	AGENT	23:29:47	23:32:00	133	BENSION
AA0101	34610	0	0	PS	990202	1:02:25	1:02:25	0	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34611	0	0	NW	990202	7:13:13	7:13:22	9	7:13:22	7:14:20	58	AGENT	7:14:20	7:15:21	61	TOVA
AA0101	34612	29537602	1	PS	990202	7:38:17	7:38:23	6	7:38:23	7:39:10	47	AGENT	7:39:09	7:40:40	91	TOVA
AA0101	34613	25703414	2	PS	990202	7:55:51	7:55:57	6	7:55:57	7:56:51	54	AGENT	7:56:51	7:58:12	81	TOVA
AA0101	34614	0	0	PS	990202	8:13:27	8:13:39	12	0:00:00	0:00:00	0	AGENT	8:13:38	8:15:36	118	KAZAV
AA0101	34615	0	0	NW	990202	8:24:54	8:25:07	13	0:00:00	0:00:00	0	AGENT	8:25:06	8:26:03	57	KAZAV
AA0101	34616	51565273	2	PS	990202	8:34:32	8:34:38	6	8:34:38	8:35:24	46	AGENT	8:35:24	8:37:18	114	TOVA
AA0101	34617	306948266	2	PS	990202	8:42:36	8:42:41	5	8:42:41	8:42:55	14	AGENT	8:42:54	8:46:36	222	TOVA
AA0101	34618	0	0	PS	990202	8:50:50	8:51:00	10	0:00:00	0:00:00	0	AGENT	8:50:59	8:51:58	59	ANAT
AA0101	34619	0	0	PS	990202	8:58:01	8:58:10	9	0:00:00	0:00:00	0	AGENT	8:58:10	9:00:19	129	KAZAV
AA0101	34620	0	0	PS	990202	9:08:23	9:08:33	10	0:00:00	0:00:00	0	AGENT	9:08:32	9:09:11	39	AVNI
AA0101	34621	0	0	PS	990202	9:17:52	9:18:01	9	0:00:00	0:00:00	0	AGENT	9:17:59	9:19:40	101	ANAT
AA0101	34622	0	0	NW	990202	9:26:41	9:26:49	8	0:00:00	0:00:00	0	AGENT	9:26:48	9:27:14	26	TOVA
AA0101	34623	0	0	PS	990202	9:38:10	9:38:20	10	0:00:00	0:00:00	0	AGENT	9:38:19	9:41:13	174	AVNI
AA0101	34624	1187707	2	PS	990202	9:47:57	9:48:03	6	9:48:03	9:48:28	25	AGENT	9:48:27	9:50:07	100	ANAT
AA0101	34625	53473757	2	PS	990202	9:57:10	9:57:15	5	9:57:15	9:57:40	25	AGENT	9:57:38	9:58:33	55	KAZAV
AA0101	34626	0	0	PS	990202	10:00:09	10:00:14	5	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34627	0	0	PS	990202	10:09:34	10:09:43	9	0:00:00	0:00:00	0	AGENT	10:09:42	10:10:26	44	ANAT
AA0101	34628	0	0	PS	990202	10:17:26	10:17:38	12	0:00:00	0:00:00	0	AGENT	10:17:36	10:21:04	208	IDIT
AA0101	34629	58289786	2	PS	990202	10:23:34	10:23:40	6	10:23:40	10:24:26	46	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34630	24207532	2	PS	990202	10:30:48	10:30:53	5	10:30:53	10:31:46	53	AGENT	10:31:45	10:32:46	61	KAZAV
AA0101	34631	0	0	NW	990202	10:42:03	10:42:12	9	10:42:12	10:46:42	270	AGENT	10:46:40	10:47:10	30	IDIT
AA0101	34632	67195636	2	PS	990202	10:52:11	10:52:16	5	10:52:16	10:52:48	32	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34633	0	0	PS	990202	11:00:15	11:00:43	28	0:00:00	0:00:00	0	AGENT	11:00:42	11:02:44	122	IDIT
AA0101	34634	0	0	PS	990202	11:08:15	11:08:25	10	0:00:00	0:00:00	0	AGENT	11:08:23	11:09:25	62	ANAT
AA0101	34635	54196027	2	PS	990202	11:15:49	11:15:54	5	11:15:54	11:16:25	31	AGENT	11:16:24	11:17:59	95	ANAT
AA0101	34636	55257703	1	PS	990202	11:27:14	11:27:19	5	11:27:19	11:27:48	29	AGENT	11:27:47	11:29:44	117	AVNI
AA0101	34637	63411037	2	NE	990202	11:38:28	11:38:34	6	11:38:34	11:39:12	38	AGENT	11:39:12	11:40:51	99	GILI
AA0101	34638	0	0	PS	990202	11:49:57	11:50:07	10	0:00:00	0:00:00	0	AGENT	11:50:06	11:51:52	106	AVNI
AA0101	34639	0	0	PS	990202	12:02:32	12:02:44	12	0:00:00	0:00:00	0	AGENT	12:02:43	12:04:31	108	TOVA
AA0101	34640	24882292	2	PS	990202	12:10:08	12:10:14	6	12:10:14	12:10:23	9	AGENT	12:10:22	12:13:20	178	GILI
AA0101	34641	0	0	NE	990202	12:20:49	12:21:00	11	0:00:00	0:00:00	0	AGENT	12:20:58	12:23:38	160	TOVA
AA0101	34642	54146154	2	PS	990202	12:34:19	12:34:24	5	12:34:24	12:35:48	84	AGENT	12:35:48	12:40:00	252	AVNI
AA0101	34643	0	0	PS	990202	12:47:32	12:47:46	14	0:00:00	0:00:00	0	AGENT	12:47:45	12:50:58	193	IDIT
AA0101	34644	0	0	PS	990202	13:01:35	13:01:46	11	0:00:00	0:00:00	0	AGENT	13:01:45	13:03:52	127	AVIDAN
AA0101	34645	24442634	2	PS	990202	13:13:33	13:13:42	9	13:13:42	13:14:12	30	PHANTOM	13:13:40	13:14:18	38	NO_SERVER
AA0101	34646	0	0	PS	990202	13:25:29	13:25:42	13	0:00:00	0:00:00	0	AGENT	13:25:42	13:28:42	180	ANAT
AA0101	34647	52867744	2	PS	990202	13:37:06	13:37:12	6	13:37:12	13:37:50	38	AGENT	13:37:49	13:39:20	91	KAZAV
AA0101	34648	24442634	2	PS	990202	13:44:47	13:44:53	6	13:44:53	13:45:06	13	AGENT	0:00:00	0:00:00	0	YIFAT
AA0101	34649	24442634	2	PS	990202	13:53:39	13:53:45	6	13:53:45	13:55:07	82	AGENT	13:55:06	13:55:08	2	MICHAL
AA0101	34650	23017932	2	PS	990202	13:59:24	13:59:30	6	13:59:30	13:59:34	4	AGENT	13:59:33	14:02:22	169	ANAT
AA0101	34651	24290983	2	PS	990202	14:08:07	14:08:12	5	14:08:12	14:08:19	7	AGENT	14:08:19	14:11:56	217	YIFAT
AA0101	34652	25627027	2	PS	990202	14:16:49	14:16:54	5	14:16:54	14:19:30	156	AGENT	14:19:30	14:21:08	98	TOVA
AA0101	34653	28996320	2	PS	990202	14:29:30	14:29:35	5	14:29:35	14:29:52	17	AGENT	14:29:51	14:31:16	85	MICHAL
AA0101	34654	0	0	PS	990202	14:39:06	14:39:16	10	0:00:00	0:00:00	0	AGENT	14:39:15	14:41:31	136	MICHAL
AA0101	34655	0	0	PS	990202	14:49:44	14:49:53	9	0:00:00	0:00:00	0	AGENT	14:49:52	14:56:53	421	AVIDAN
AA0101	34656	0	0	NW	990202	15:00:06	15:00:15	9	15:00:15	15:00:45	30	AGENT	15:00:44	15:01:03	19	IDIT
AA0101	34657	0	0	NW	990202	15:06:29	15:06:39	10	15:06:39	15:06:48	9	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34658	0	0	NW	990202	15:13:39	15:13:49	10	15:13:49	15:13:55	6	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34659	36398758	1	PS	990202	15:19:19	15:19:24	5	15:19:24	15:20:06	42	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34660	0	0	NW	990202	15:27:32	15:27:46	14	0:00:00	0:00:00	0	AGENT	15:27:45	15:30:58	193	KAZAV
AA0101	34662	0	0	PS	990202	15:38:30	15:38:30	0	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34663	9682923	2	PS	990202	15:45:31	15:45:36	5	15:45:36	15:45:49	13	AGENT	15:45:47	16:02:03	976	AVIDAN
AA0101	34664	0	0	PS	990202	15:57:20	15:57:31	11	0:00:00	0:00:00	0	AGENT	15:57:29	15:57:52	23	PINHAS
AA0101	34665	0	0	NW	990202	16:05:13	16:05:22	9	16:05:22	16:06:18	56	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34666	24432346	2	PS	990202	16:12:48	16:12:53	5	16:12:53	16:13:30	37	AGENT	16:13:29	16:14:53	84	YIFAT
AA0101	34667	57902546	2	PS	990202	16:18:41	16:18:47	6	16:18:47	16:19:13	26	AGENT	16:19:12	16:29:22	610	YITZ
AA0101	34668	31794381	1	PS	990202	16:25:30	16:25:35	5	16:25:35	16:26:55	80	AGENT	16:26:54	16:30:10	196	AVIDAN
AA0101	34669	0	0	PS	990202	16:33:39	16:33:47	8	0:00:00	0:00:00	0	AGENT	16:33:47	16:38:50	303	ZOHARI
AA0101	34670	0	0	PS	990202	16:40:06	16:40:21	15	0:00:00	0:00:00	0	AGENT	16:40:20	16:41:48	88	AVIDAN
AA0101	34671	0	0	NW	990202	16:48:24	16:48:33	9	16:48:33	16:49:17	44	AGENT	16:49:16	16:50:10	54	YITZ
AA0101	34672	57841983	2	PS	990202	16:57:26	16:57:31	5	16:57:31	16:57:49	18	AGENT	16:57:48	16:59:51	123	MICHAL
AA0101	34673	0	0	NW	990202	17:07:17	17:07:27	10	17:07:27	17:08:36	69	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34674	0	0	NW	990202	17:15:53	17:16:03	10	17:16:03	17:16:52	49	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34675	0	0	NW	990202	17:28:51	17:29:09	18	0:00:00	0:00:00	0	AGENT	17:29:09	17:37:18	489	MICHAL
AA0101	34676	27131531	2	PS	990202	17:41:46	17:41:52	6	17:41:52	17:42:47	55	AGENT	17:42:46	17:42:51	5	DARMON
AA0101	34677	0	0	NW	990202	17:58:46	17:59:03	17	0:00:00	0:00:00	0	AGENT	17:59:02	18:01:41	159	BASCH
AA0101	34678	0	0	NW	990202	18:14:32	18:14:42	10	18:14:42	18:15:45	63	AGENT	18:15:44	18:16:44	60	BASCH
AA0101	34679	0	0	PS	990202	18:33:19	18:33:28	9	0:00:00	0:00:00	0	AGENT	18:33:27	18:34:44	77	SHLOMO
AA0101	34680	0	0	NW	990202	18:45:17	18:45:26	9	18:45:26	18:46:04	38	AGENT	18:46:03	18:49:52	229	MICHAL
AA0101	34681	0	0	PS	990202	19:02:21	19:02:30	9	0:00:00	0:00:00	0	AGENT	19:02:29	19:18:32	963	AVIDAN
AA0101	34682	28934784	2	PS	990202	19:19:00	19:19:05	5	19:19:05	19:19:56	51	AGENT	19:19:55	19:21:49	114	MICHAL
AA0101	34683	0	0	PS	990202	19:30:33	19:30:46	13	0:00:00	0:00:00	0	AGENT	19:30:45	19:33:45	180	SHARON
AA0101	34684	79728739	2	PS	990202	19:38:32	19:38:38	6	19:38:38	19:38:58	20	AGENT	19:38:57	19:47:42	525	MICHAL
AA0101	34685	0	0	PS	990202	19:59:54	20:00:05	11	0:00:00	0:00:00	0	AGENT	20:00:04	20:01:13	69	BASCH
AA0101	34686	28842599	1	PS	990202	20:26:56	20:27:02	6	20:27:02	20:31:09	247	AGENT	20:31:08	20:32:26	78	SHARON
AA0101	34687	67703140	2	PS	990202	20:42:25	20:42:31	6	20:42:31	20:42:51	20	AGENT	20:42:50	20:43:26	36	BASCH
AA0101	34688	33453168	1	PS	990202	20:59:46	20:59:52	6	20:59:52	21:00:06	14	AGENT	21:00:04	21:01:26	82	YITZ
AA0101	34689	29090131	2	PS	990202	21:17:46	21:17:52	6	21:17:52	21:19:59	127	AGENT	0:00:00	0:00:00	0	SHARON
AA0101	34690	0	0	PS	990202	21:34:24	21:34:35	11	0:00:00	0:00:00	0	AGENT	21:34:34	21:41:36	422	SHARON
AA0101	34692	0	0	PS	990202	21:52:38	21:52:38	0	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34693	0	0	PS	990202	22:12:59	22:13:09	10	0:00:00	0:00:00	0	AGENT	22:13:08	22:14:35	87	YITZ
AA0101	34694	31915382	1	PS	990202	22:36:59	22:37:05	6	22:37:05	22:38:07	62	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34695	22454433	2	PS	990202	23:02:17	23:02:23	6	23:02:23	23:02:46	23	AGENT	23:02:45	23:02:51	6	SHARON
AA0101	34696	0	0	PS	990202	23:21:28	23:21:37	9	0:00:00	0:00:00	0	AGENT	23:21:36	23:24:07	151	SHARON
AA0101	34697	25469594	1	PS	990202	23:54:53	23:54:58	5	23:54:58	23:57:06	128	AGENT	23:57:06	23:58:09	63	SHARON
AA0101	34698	0	0	PS	990203	6:58:30	6:59:08	38	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34699	28626448	1	PS	990203	7:39:23	7:39:29	6	7:39:29	7:39:52	23	AGENT	7:39:52	7:40:37	45	IDIT
AA0101	34700	0	0	PS	990203	8:04:54	8:05:06	12	0:00:00	0:00:00	0	AGENT	8:05:06	8:05:10	4	NO_SERVER
AA0101	34701	0	0	PS	990203	8:15:53	8:16:04	11	0:00:00	0:00:00	0	AGENT	8:16:03	8:28:10	727	ZOHARI
AA0101	34702	0	0	NW	990203	8:29:11	8:29:25	14	0:00:00	0:00:00	0	AGENT	8:29:24	8:29:32	8	IDIT
AA0101	34703	0	0	NW	990203	8:36:44	8:36:53	9	8:36:53	8:40:08	195	AGENT	8:40:07	8:40:17	10	YIFAT
AA0101	34704	59778696	1	PS	990203	8:45:51	8:45:56	5	8:45:56	8:46:24	28	AGENT	8:46:23	8:47:08	45	IDIT
AA0101	34705	0	0	NW	990203	8:56:35	8:56:46	11	0:00:00	0:00:00	0	AGENT	8:56:45	8:58:45	120	YIFAT
AA0101	34706	0	0	PS	990203	9:15:00	9:15:10	10	0:00:00	0:00:00	0	AGENT	9:15:09	9:16:27	78	DORIT
AA0101	34707	0	0	PS	990203	9:24:58	9:25:09	11	0:00:00	0:00:00	0	AGENT	9:25:08	9:27:33	145	ELI
AA0101	34708	0	0	PS	990203	9:34:01	9:34:11	10	0:00:00	0:00:00	0	AGENT	9:34:09	9:36:14	125	AVNI
AA0101	34709	0	0	NW	990203	9:48:41	9:48:55	14	0:00:00	0:00:00	0	AGENT	9:48:54	9:49:13	19	YIFAT
AA0101	34710	0	0	PS	990203	9:59:18	9:59:28	10	0:00:00	0:00:00	0	AGENT	9:59:27	10:00:56	89	KAZAV
AA0101	34711	0	0	NW	990203	10:07:04	10:07:13	9	10:07:13	10:09:39	146	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34712	56051360	2	PS	990203	10:17:58	10:18:04	6	10:18:04	10:19:31	87	AGENT	10:19:30	10:24:41	311	AVNI
AA0101	34713	60280260	2	NE	990203	10:28:35	10:28:41	6	10:28:41	10:29:11	30	AGENT	10:29:09	10:31:07	118	KAZAV
AA0101	34714	29518289	2	PS	990203	10:37:53	10:37:59	6	10:37:59	10:38:34	35	AGENT	10:38:33	10:39:46	73	YIFAT
AA0101	34715	56472442	1	PS	990203	10:50:38	10:50:44	6	10:50:44	10:51:32	48	AGENT	10:51:31	10:54:28	177	YIFAT
AA0101	34716	28951101	1	PS	990203	10:59:53	10:59:58	5	10:59:58	11:00:10	12	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34717	55921597	1	NE	990203	11:06:31	11:06:36	5	11:06:36	11:06:49	13	AGENT	11:06:48	11:14:02	434	ELI
AA0101	34718	7921794	2	PS	990203	11:13:31	11:13:36	5	11:13:36	11:13:42	6	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34720	0	0	PS	990203	11:23:44	11:23:44	0	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34721	27400084	2	NE	990203	11:35:06	11:35:28	22	11:35:28	11:35:40	12	AGENT	11:35:39	11:36:28	49	ELI
AA0101	34722	0	0	NW	990203	11:46:29	11:46:39	10	11:46:39	11:50:05	206	AGENT	11:50:04	11:51:06	62	YIFAT
AA0101	34723	0	0	NE	990203	12:02:10	12:02:23	13	0:00:00	0:00:00	0	AGENT	12:02:22	12:10:21	479	ZOHARI
AA0101	34724	56051360	2	PS	990203	12:12:08	12:12:14	6	12:12:14	12:14:43	149	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34725	0	0	NW	990203	12:31:59	12:32:13	14	0:00:00	0:00:00	0	AGENT	12:32:12	12:32:22	10	IDIT
AA0101	34726	24405680	2	PS	990203	12:44:13	12:44:19	6	12:44:19	12:46:04	105	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34727	0	0	PS	990203	12:51:48	12:52:29	41	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34728	0	0	NW	990203	12:56:06	12:56:35	29	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34729	0	0	PS	990203	13:02:04	13:03:23	79	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34730	0	0	PS	990203	13:04:07	13:05:10	63	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34731	0	0	PS	990203	13:06:43	13:07:44	61	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34732	0	0	NE	990203	13:09:33	13:11:11	98	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34733	0	0	PS	990203	13:12:51	13:14:20	89	0:00:00	0:00:00	0	HANG	0:00:00	0:00:00	0	NO_SERVER
